                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1592,                 4.9905,                 4.0907,                0.78346,                0.04003,                0.03221,                0.01153,                 3.1719,                 5.9668,                 3.8095,              0.0033272,              0.0033272,              0.0033272
                      2,                   2.21,                 3.0903,                 2.4799,                0.55846,                0.28563,                0.27037,                0.19695,                 2.1039,                 2.5186,                 1.9599,              0.0066386,              0.0066386,              0.0066386
                      3,                 1.7026,                 1.8459,                 1.6064,                 0.5841,                0.27379,                0.31023,                 0.2293,                   2.02,                 2.1488,                 1.7206,              0.0099279,              0.0099279,              0.0099279
                      4,                 1.4969,                 1.3709,                 1.3978,                0.42771,                0.40675,                0.39051,                0.24718,                 1.7126,                 1.6033,                 1.4233,               0.009901,               0.009901,               0.009901
                      5,                 1.3946,                 1.1289,                 1.2905,                0.53301,                0.54587,                0.53949,                0.35922,                 1.5817,                 1.2558,                 1.3343,               0.009901,               0.009901,               0.009901
                      6,                 1.3382,                 1.0482,                 1.2392,                0.52736,                0.52255,                0.54814,                0.35387,                  1.599,                 1.1991,                 1.3724,               0.009868,               0.009868,               0.009868
                      7,                 1.3064,                0.98498,                 1.2056,                0.50862,                0.58302,                 0.5837,                0.38099,                 1.5248,                 1.0496,                  1.292,               0.009835,               0.009835,               0.009835
                      8,                 1.2726,                0.94077,                 1.1872,                0.55181,                0.59523,                0.58851,                0.39416,                 1.4833,                 1.0028,                 1.2751,               0.009802,               0.009802,               0.009802
                      9,                 1.2541,                0.90932,                 1.1693,                0.57089,                0.57234,                0.58483,                0.39321,                 1.5106,                 1.1294,                 1.2401,               0.009769,               0.009769,               0.009769
                     10,                 1.2263,                0.88667,                 1.1603,                0.54495,                0.58902,                0.62025,                0.41561,                 1.4574,                0.98494,                 1.2009,               0.009736,               0.009736,               0.009736
                     11,                 1.2126,                0.86992,                 1.1431,                0.59472,                0.56223,                0.60559,                0.40439,                  1.494,                 1.0029,                 1.2489,               0.009703,               0.009703,               0.009703
                     12,                 1.2065,                 0.8566,                 1.1358,                0.59199,                0.58003,                0.60011,                0.40113,                 1.4676,                0.96826,                  1.208,                0.00967,                0.00967,                0.00967
                     13,                 1.2022,                0.84037,                 1.1271,                0.59554,                0.59222,                0.62334,                0.42827,                 1.4532,                0.93356,                 1.1802,               0.009637,               0.009637,               0.009637
                     14,                 1.1905,                0.82306,                 1.1151,                0.61433,                0.62042,                0.63693,                0.42569,                 1.4229,                0.88172,                 1.1851,               0.009604,               0.009604,               0.009604
