                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1173,                0.74778,                 1.0785,                0.57462,                0.58727,                0.61303,                0.43048,                 1.3342,                0.84776,                 1.1037,               0.008878,               0.008878,               0.008878
                     37,                   1.11,                0.73023,                 1.0706,                0.56428,                0.55416,                0.58372,                0.40936,                 1.3536,                0.89655,                 1.1286,               0.008845,               0.008845,               0.008845
                     38,                 1.0814,                0.73171,                 1.0802,                0.60626,                0.58455,                0.61226,                0.42776,                 1.3558,                0.84174,                 1.1199,               0.008812,               0.008812,               0.008812
                     39,                 1.1015,                0.73385,                 1.0699,                0.60228,                 0.5842,                0.61205,                0.42514,                 1.3364,                0.82117,                 1.1102,               0.008779,               0.008779,               0.008779
                     40,                 1.0765,                0.71427,                 1.0664,                0.60923,                0.58109,                0.60759,                0.43142,                 1.3313,                0.84439,                 1.0987,               0.008746,               0.008746,               0.008746
                     41,                 1.0845,                0.71307,                 1.0609,                0.61482,                0.58102,                0.61449,                0.43478,                 1.3252,                0.82585,                 1.1074,               0.008713,               0.008713,               0.008713
                     42,                 1.0882,                0.73056,                 1.0675,                0.58943,                0.58737,                0.61053,                0.43389,                 1.3115,                0.81049,                 1.1075,                0.00868,                0.00868,                0.00868
                     43,                 1.0767,                0.71838,                 1.0609,                0.58837,                0.59741,                0.61492,                0.43921,                 1.3154,                0.80902,                 1.0913,               0.008647,               0.008647,               0.008647
                     44,                 1.0737,                0.71217,                 1.0577,                0.60483,                0.58709,                0.61446,                0.44291,                 1.3215,                0.81634,                 1.0862,               0.008614,               0.008614,               0.008614
                     45,                  1.081,                0.70051,                 1.0522,                0.62687,                0.58285,                0.62543,                0.44713,                 1.3221,                0.78674,                 1.0869,               0.008581,               0.008581,               0.008581
                     46,                 1.0728,                0.70466,                 1.0601,                0.62321,                0.59224,                0.62408,                0.44329,                 1.3277,                0.77619,                 1.0971,               0.008548,               0.008548,               0.008548
                     47,                 1.0787,                0.69987,                 1.0453,                0.59416,                0.56203,                0.58472,                0.41432,                 1.3431,                0.89016,                 1.1099,               0.008515,               0.008515,               0.008515
                     48,                 1.0651,                0.69939,                 1.0537,                0.59295,                0.59232,                0.60908,                0.43769,                 1.3127,                0.78633,                 1.0846,               0.008482,               0.008482,               0.008482
                     49,                 1.0694,                0.70337,                  1.053,                0.61527,                0.60881,                0.62834,                0.45126,                 1.3308,                0.79438,                 1.0814,               0.008449,               0.008449,               0.008449
                     50,                 1.0675,                0.70061,                 1.0571,                0.60034,                0.59371,                0.61425,                 0.4439,                 1.3163,                0.81059,                 1.0923,               0.008416,               0.008416,               0.008416
                     51,                  1.085,                 0.6857,                 1.0436,                0.61118,                 0.5992,                0.62648,                0.45028,                 1.3165,                0.77116,                 1.0759,               0.008383,               0.008383,               0.008383
                     52,                 1.0491,                0.68459,                 1.0426,                0.62744,                0.59849,                0.63173,                0.44365,                 1.3193,                0.76994,                 1.0811,                0.00835,                0.00835,                0.00835
                     53,                 1.0422,                0.67776,                 1.0442,                0.63015,                0.59469,                 0.6287,                0.44484,                 1.2962,                0.75018,                 1.0819,               0.008317,               0.008317,               0.008317
                     54,                  1.069,                 0.6801,                 1.0397,                 0.5961,                0.62326,                0.62625,                0.44914,                 1.3187,                0.76774,                 1.0911,               0.008284,               0.008284,               0.008284
